Renewable energy-All-purpose,Renewable energy-Biomass,Renewable energy-Geothermal,Renewable energy-Photovoltaic & solar,Renewable energy-Wave & Tidal,Renewable energy-Wind,id
0,0,0,1,0,0,9240501
0,0,0,1,0,0,9240504
0,0,0,1,0,0,9240507
0,0,0,1,0,0,9240508
0,0,0,1,0,0,9240509
0,0,0,1,0,0,9240510
0,0,0,1,0,0,9240515
0,0,1,0,0,0,9241426
0,1,0,0,0,0,9241471
0,0,0,1,0,0,9241600
1,0,0,0,0,0,9242205
0,1,0,0,0,0,9242222
0,0,0,1,0,0,9242554
0,1,0,0,0,0,9242881
0,1,0,0,0,0,9242907
0,1,0,0,0,0,9242912
0,1,0,0,0,0,9242913
0,1,0,0,0,0,9242915
0,1,0,0,0,0,9242952
0,1,0,0,0,0,9243128
0,1,0,0,0,0,9243303
0,0,0,1,0,0,9243340
0,1,0,0,0,0,9243364
0,0,0,1,0,0,9243609
0,0,1,1,0,0,9243616
0,0,0,1,0,0,9243816
0,0,0,1,0,0,9243818
0,0,0,1,0,0,9244261
0,0,0,1,0,0,9245663
0,0,0,1,0,0,9245692
0,0,0,1,0,0,9245758
0,0,0,1,0,0,9246025
0,0,0,1,0,0,9246026
0,0,0,1,0,0,9246027
0,0,0,1,0,0,9246028
0,0,0,1,0,0,9246029
0,0,0,1,0,0,9246030
0,0,0,1,0,0,9246032
0,0,0,1,0,0,9246033
0,0,0,1,0,0,9246034
0,0,0,1,0,0,9246039
0,0,0,1,0,0,9246040
0,0,0,1,0,0,9246042
0,0,0,1,0,0,9246046
0,0,0,1,0,0,9246104
0,0,0,1,0,0,9246106
0,0,0,1,0,0,9246115
0,0,0,1,0,0,9246331
0,0,0,1,0,0,9246334
0,0,0,1,0,0,9246354
0,0,0,1,0,0,9246397
0,0,0,1,0,0,9246433
0,0,0,0,1,0,9247992
0,0,0,1,0,0,9249016
0,1,0,0,0,0,9249018
0,1,0,1,0,0,9249026
1,0,0,0,0,0,9249064
0,1,0,0,0,0,9249235
0,0,0,1,0,0,9249319
0,1,0,0,0,0,9249358
0,1,0,0,0,0,9249362
0,1,0,0,0,0,9249368
0,1,0,0,0,0,9249432
0,1,0,0,0,0,9249442
0,1,0,0,0,0,9249474
0,0,0,1,0,1,9249650
1,0,0,0,0,0,9249757
0,0,0,1,0,0,9249785
0,0,1,0,0,0,9249786
0,0,0,1,0,0,9249989
0,0,0,1,0,0,9249990
0,0,0,1,0,0,9249991
0,0,0,1,0,0,9249993
0,0,0,1,0,0,9250015
0,0,0,1,0,0,9250224
0,0,1,0,0,0,9250351
0,0,0,1,0,0,9251543
0,0,0,1,0,0,9251962
0,0,0,1,0,0,9251963
0,0,0,1,0,0,9251964
0,0,0,1,0,0,9251965
0,0,0,1,0,0,9252294
0,0,0,1,0,0,9252295
0,0,0,1,0,0,9252299
0,0,0,1,0,0,9252300
0,0,0,1,0,0,9252301
0,0,0,1,0,0,9252307
0,0,0,1,0,0,9252308
0,0,0,1,0,0,9252309
0,0,0,1,0,0,9252311
0,0,0,1,0,0,9252312
0,0,0,1,0,0,9252313
0,0,0,1,0,0,9252314
0,0,0,1,0,0,9252315
0,0,0,1,0,0,9252316
0,0,0,1,0,0,9252319
0,0,0,1,0,0,9252320
0,0,0,1,0,0,9252374
0,0,0,1,0,0,9252571
0,0,0,1,0,0,9252598
0,0,0,1,0,0,9252680
1,0,0,1,0,0,9252701
0,0,0,1,0,0,9252702
0,0,0,0,1,0,9254172
0,1,0,0,0,0,9254449
0,1,0,0,0,0,9254451
0,1,0,0,0,0,9254461
0,1,0,0,0,0,9254607
0,1,0,0,0,0,9255169
0,1,0,0,0,0,9255189
0,1,0,0,0,0,9255218
0,1,0,0,0,0,9255225
0,1,0,0,0,0,9255231
0,1,0,0,0,0,9255301
0,0,0,1,0,0,9255569
0,0,0,1,0,0,9255675
0,0,0,1,0,0,9255725
0,0,0,1,0,0,9255840
1,0,0,0,0,0,9255869
0,0,0,1,0,0,9256018
0,0,0,1,0,0,9257236
0,0,0,1,0,0,9257237
0,0,0,1,0,0,9257284
0,0,0,1,0,0,9257575
0,0,0,1,0,0,9257578
0,0,0,1,0,0,9257583
0,0,0,1,0,0,9257584
0,0,0,1,0,0,9257586
0,0,0,1,0,0,9257592
0,0,0,1,0,0,9257847
0,0,0,1,0,0,9257892
0,0,0,1,0,0,9257916
0,0,0,1,0,0,9257937
0,0,0,1,0,0,9257938
0,0,0,0,1,0,9259268
1,0,0,1,0,0,9259662
0,0,0,1,0,0,9260556
0,1,0,0,0,0,9260675
0,1,0,0,0,0,9260695
0,1,0,0,0,0,9260731
0,1,0,0,0,0,9260735
0,0,0,1,0,0,9260915
0,0,0,0,1,0,9261070
0,0,0,1,0,0,9261294
0,0,0,1,0,0,9261628
0,0,0,1,0,0,9261630
0,0,0,1,0,0,9261659
0,0,0,1,0,0,9263169
0,0,0,1,0,0,9263519
0,0,0,1,0,0,9263600
0,0,0,1,0,0,9263601
0,0,0,1,0,0,9263602
0,0,0,1,0,0,9263603
0,0,0,1,0,0,9263605
0,0,0,1,0,0,9263609
0,0,0,1,0,0,9263610
0,0,0,1,0,0,9263611
0,0,0,1,0,0,9263612
0,0,0,1,0,0,9263615
0,0,0,1,0,0,9263620
0,0,0,1,0,0,9263622
0,0,0,1,0,0,9263624
0,0,0,1,0,0,9263625
0,0,0,1,0,0,9263678
0,0,0,1,0,0,9263688
0,0,0,1,0,0,9263986
0,0,0,1,0,0,9265124
0,1,0,0,0,0,9265284
0,1,0,0,0,0,9266113
0,1,0,0,0,0,9267090
0,1,0,0,0,0,9267102
0,1,0,0,0,0,9267146
0,0,0,1,0,0,9267207
0,0,0,1,0,0,9267468
0,0,0,1,0,0,9267709
0,0,0,1,0,0,9267710
0,0,0,1,0,0,9267711
0,0,0,1,0,0,9268158
0,0,0,1,0,0,9269282
0,0,0,1,0,0,9269581
0,0,0,1,0,0,9269748
0,0,0,1,0,0,9269839
0,0,0,1,0,0,9269840
0,0,0,1,0,0,9269841
0,0,0,1,0,0,9269851
0,0,0,1,0,0,9269904
0,0,0,1,0,0,9269916
0,0,0,1,0,0,9269989
1,0,0,1,0,0,9270164
0,0,0,1,0,0,9270201
0,0,0,1,0,0,9270225
0,0,0,1,0,0,9271453
0,0,0,0,1,0,9271791
0,1,0,0,0,0,9272239
0,1,0,0,0,0,9272288
0,0,0,1,0,0,9272352
0,1,0,0,0,0,9272468
0,0,0,1,0,0,9272497
0,0,0,1,0,0,9272783
0,0,0,1,0,0,9272909
0,1,0,0,0,0,9272912
1,0,0,0,0,0,9272930
0,1,0,0,0,0,9272976
0,1,0,0,0,0,9273158
0,1,0,0,0,0,9273180
0,0,0,1,0,0,9273181
0,1,0,0,0,0,9273280
0,1,0,0,0,0,9273329
0,1,0,0,0,0,9273330
0,0,0,1,0,0,9273672
0,0,0,1,0,0,9273840
0,0,1,1,0,0,9273866
0,0,0,1,0,0,9273883
0,0,0,1,0,0,9273884
0,0,0,1,0,0,9274045
0,0,0,1,0,0,9274266
0,0,0,1,0,0,9274306
0,0,0,1,0,0,9275391
0,0,0,1,0,0,9275772
0,0,0,1,0,0,9276148
0,0,0,1,0,0,9276149
0,0,0,1,0,0,9276151
0,0,0,1,0,0,9276153
0,0,0,1,0,0,9276155
0,0,0,1,0,0,9276156
0,0,0,1,0,0,9276163
0,0,0,1,0,0,9276215
0,0,0,1,0,0,9276223
0,0,0,1,0,0,9276402
0,0,0,1,0,0,9276403
0,0,0,1,0,0,9276409
0,0,0,1,0,0,9276412
