,0
318,Texas State University-San Marcos
319,"Los Alamos National Security, LLC"
320,Teal Sales Incorporated
321,"Synaptic Research, LLC"
322,Johns Hopkins Univ. 
323,Glucan Biorenewables LLC
324,"OAS Design Group, Inc."
325,GREENFIELD MASTER IPCO LIMITED
326,The Trustees of Boston University
327,"Acorn Technologies, Inc."
328,Total Marketing Services
329,"Amkor Technology, Inc."
330,"WAFERTECH, LLC"
331,The Board of Trustees of the University of Arkansas
332,AccuRay Corporation
333,American Science and Technology Corporation
334,"GROW ENERGY, INC."
335,"AMPT, LLC"
336,Antaya Technologies Corporation
337,Stichting Energieonderzoek Centrum Nederland
338,"Samsung SDI Co., Ltd."
339,Lumentum Operations LLC
340,"Masimo Semiconductor, Inc."
341,"Inventus Holdings, LLC"
342,BlackBerry Limited
343,Helios Focus LLC
344,"Yeda Research and Development Co., Ltd."
345,"Calysta, Inc."
346,Santa Clara University
347,ABB Technology Ltd.
348,The University of Maryland
349,"AltaRock Energy, Inc."
350,"APPLIED SUNSHINE, LLC"
351,Intel Corporation
352,Bakersun
353,The University of Chicago
354,"RADIANCE SOLAR, LLC"
355,MILLENIUM SYNTHFUELS CORPORATION
356,"Ignis Innovation, Inc."
357,Alcatel Lucent
358,"Biogenic Reagents Ventures, LLC"
359,"MICROMIDAS, INC."
360,Battelle Memorial Institute
361,Dow Global Technologies Inc.
362,Sun Chemical Corporation
363,ASM IP Holdings LLC
364,GENERAL MOTORS LLC
365,"Novus Technology, Incorporated"
366,"Deep Well Power, LLC"
367,"Industrial Solar Heating Systems, LLC"
368,Eastman Chemical Company
369,Toray Industries Inc. 
370,Adeka Corporation
371,BCE Inc.
372,Tosoh Corporation
373,Cetus Corporation
374,"Magnolia Optical Technologies, Inc."
375,"Iowa State University Research Foundation, Inc. "
376,Fujitsu Limited
377,Henkel AG & Co. KGaA
378,Banpil Photonics
379,Boston Scientific Neuromodulation Corporation
380,"CAPAT, LLC"
381,Wenger Corporation
382,Empire Technology Development LLC
383,Galemed Corporation
384,"Soraa, Inc."
385,"Pardev, LLC"
386,Rima Enterprises
387,"Wikipad, Inc."
388,"ENERGY ENGINEERING SYSTEMS, LLC"
389,INDIANA UNIVERSITY RESEARCH & TECHNOLOGY CORPORATION
390,"Ensyn Renewables, Inc."
391,"CI4 Technologies, Inc."
392,Dow AgroSciences LLC
393,"Integrated Solar Technology, LLC"
394,Seetron Inc.
395,"Combined Energies, LLC"
396,"U.S. NUTRACEUTICALS, LLC"
397,NEC Corporation
398,"Sundrop Fuels, Inc."
399,"Novozymes North America, Inc."
400,"American Piledriving Equipment, Inc."
401,"Entech Solar, Inc."
402,Hunter Douglas Inc.
403,"Extech/Exterior Technologies, Inc."
404,The United States of America as Represented by the Administrator of the National Aeronautics and Space Administration
405,"TT Technologies, Inc."
406,Nippon Chemi-Con Corporation
407,"KR Design House, Inc."
408,Green Extraction Technologies
409,INENTEC INC.
410,TRANE INTERNATIONAL INC.
411,"Casio Computer Co., Ltd."
412,"Industrial Origami, Inc."
413,Archer Daniels Midland Company
414,"Foret Plasma Labs, LLC"
415,Dana Corporation
416,"Global Solar Water Power Systems, Inc."
417,Starsource Scientific LLC
418,"Taiwan Semiconductor Manufacturing Company, Ltd."
419,"Ceramatec, Inc."
420,"Rillito Rive Solar, LLC"
421,Nestec S. A.
422,"Simple Approach Systems, Inc."
423,"Alcotek, Inc."
424,University of Maine System Board of Trustees
425,Turf Group LLC
426,Wave Energy Conversion Corporation of America
427,Greggory Tate Homrighous and Frank Bryan Homrighous
428,Newport Corporation
429,"Angaza Design, Inc."
430,Bosch Energy Storage Solutions LLC
431,"Forest Concepts, LLC"
432,"Ford Global Technologies, Inc."
433,"Pioneer Energy, Inc."
434,"Synthetic Genomics, Inc."
435,Em-Tech LLC
436,"Cree, Inc."
437,"California Industrial Facilities Resources, INC."
438,"Terra Caloric, LLC"
439,Seiko Instruments Inc.
440,Panasonic Intellectual Property Corporation of America
441,"TetraSun, Inc."
442,Denso Corporation
443,"Aurora Alage, Inc."
444,Arizona Board of Regents on Behalf of the University of Arizona
445,"540 Grid Solutions, LLC"
446,EchoStar Technologies LLC
447,University of Massachusetts
448,"Enginuity Worldwide, LLC"
449,SHOW ME ENERGY
450,"HNO Greenfuels, Inc."
451,"Digital Wind Systems, Inc."
452,Crystal Solar Inc.
453,EMD Technologies Inc.
454,BTPATENT LLC
455,"Leap Frogg, LLC"
456,Michigan Biotechnology Institute
457,Cleanvantage LLC
458,PeterBrod Corp.
459,"Express Imaging Systems, LLC"
460,"Universal Leaf Tobacco Co., Inc."
461,Tokyo Electron Limited
462,"Nanoco Technologies, Ltd."
463,"Stanley Electric Co., Ltd."
464,"GOSOLARLIFE, LLC"
465,"AFMODEL, LLC."
466,Atleisure LLC
467,"Eisai Co., Ltd."
468,"Board of Regents, University of Texas System"
469,CNH Industrial America LLC
470,ADVANCED INNOVATION CENTER LLC
471,"Greyrock Energy, Inc."
472,"Delphi Technologies, Inc."
473,"All Power Labs, Inc."
474,U S MICROPOWER INC
475,"SB ENERGY, LLC"
476,"Lumenco, LLC"
477,Raytheon Company
478,TDK Corporation
479,The University of Akron
480,"Altek, L.L.C."
481,"Sustainable Technologies, LLC"
482,Koninklijke Philips N.V.
483,BASF Corporation 
484,"Verliant Energy, Inc."
485,Community Power Corporation
486,University of Tennessee Research Foundation
487,"Evri, Inc."
488,Drexel University
489,The Trustees of the University of Pennsylvania
490,The Curators of the University of Missouri
491,"Plant Sensory Systems, LLC"
492,"FHT, Inc."
493,"WOVN, INC."
494,fybr
495,"Semiconductor Energy Laboratory Co., Ltd."
496,"SunEdison, Inc."
497,"TerraVia Holdings, Inc."
498,"Cargill, Incorporated"
499,"Codexis, Inc."
500,"Continental Manufacturing, LLC"
501,Acer Incorporated
502,VANDERBILT UNIVERSITY CENTER FOR TECHNOLOGY TRANSFER AND COMMERCIALIZATION
503,"Murata Manufacturing Co., Ltd."
504,Monarch Power Corp
505,"Chemtreat, Inc."
506,"Sweetwater Energy, Inc."
507,CP KELCO APS
508,"V35A Enterprises, LLC"
509,Zephyr Energy Systems LLC
510,"Esolar, Inc."
511,"Toyota Motor Engineering & Manufacturing North America, Inc."
512,"SCHOTTKY LSI, INC."
513,HOWARD INDUSTRIES
514,BTU International
515,"Hollywood Trucks, LLC"
516,Ana G. Méndez University System
517,Iogen Corporation
518,The Arizona Board of Regents of Behalf of the University of Arizona
519,"Carbon Research & Development, Co."
520,"Kiverdi, Inc."
521,SolarWorld Americas Inc.
522,"Sinton Consulting, Inc."
523,ZON
524,Clemson University
525,X DEVELOPMENT LLC
526,646840 Alberta Ltd.
527,Crowder College
528,University of North Dakota
529,Eaton Corporation
530,Kimberly-Clark Worldwide
531,Kemira OY
532,Thorn Bioscience LLC
533,"Amtech Systems, LLC"
534,Anlinx
535,"Bird-B-Gone, Inc."
536,Novus Energy LLC
537,"GeoSynFuels, LLC"
538,"Chromalox, Inc."
539,The Unites States of America as represented by the Department of Energy
540,IDEALAB
541,VERILY LIFE SCIENCES LLC
542,Lintec Corporation
543,"Pacific Light Technologies, Corp."
544,"INTEVAC, INC."
545,"Senaya, Inc."
546,Tyco Electronics Corporation
547,JAC Products Inc.
548,"GEOTHERMAL ENERGY PROJECT, LLC"
549,"SELMAN AND ASSOCIATES, LTD."
550,"Travis Industries, Inc."
551,"SolarReserve Technology, LLC"
552,Sunrun South LLC
553,"Nanotek Instruments, Inc."
554,"Novon, Inc."
555,"Sinewatts, Inc."
556,"Avertech, Inc."
557,"ALGETERNAL TECHNOLOGIES, LLC"
558,Northrop Grumman Systems Corporation
559,Palo Alto Research Center Incorporated
560,"Electrix, Inc."
561,"Garland Industries, Inc."
562,"Magnolia Solar, Inc."
563,Momentive Performance Materials GmbH
564,"Tensor, Inc."
565,"Swift Engineering, Inc."
566,"Tekkware, Inc."
567,"adaptiveARC, Inc."
568,"Plasma Tech Holdings, LLC"
569,"HIQ SOLAR, INC."
570,"Schneider Electric USA, Inc."
571,GOAL ZERO LLC
572,Zenon Technology Partnership
573,"Genomatica, Inc."
574,King Electric Vehicles Inc.
575,"Ruse Technologies, LLC"
576,"Brightfield Transportation Solutions, Inc."
577,"Astech, Inc."
578,"TECHNOLOGY RESEARCH, LLC"
579,"Rockwell Collins, Inc."
580,"Rio Grande Valley Sugar Growers, Inc."
581,"AG ENERGY SOLUTIONS, INC."
582,Thermorefinery Technologies Inc.
583,"Koch Biological Solutions, LLC"
584,"CYBERCITY 3D, INC"
585,Lof Solar Corporation
586,"RES USA, LLC"
587,"Biotechnology Foundation, Inc."
588,Thomas Jefferson University
589,"GTherm, Inc."
590,Supremex Inc.
591,"SOLARTONIC, LLC"
592,"VINYLAST, INC."
593,Marathon Equipment Company
594,Biotta LLC
595,FPInnovations
596,Bitrode Corporation
597,Brookhaven Science Associates LLC 
598,CSEM Centre Suisse d'Electronique et de Microtechnique SA-Recherche et Developpement
599,Novartis AG
600,Reliance Controls Corporation
601,"eNow, Inc."
602,"Shoals Technologies Group, LLC"
603,"Arizona Board of Regents, a body coporate acting for and on behalf of Arizona State University"
604,GIGA SOLAR FPC
605,Amberwave Inc.
606,SolaBlock LLC
