Biosensor 2 Term,Biosensor Term,Micro Term,Molecular Motor Term,Nano Term,Quantum Term,Quasi Term,Self Term,exclusion,id,measure_exclusion,selection
0,0,1,0,0,0,0,0,0,3936550,0.0,1.0
0,0,1,0,0,0,0,0,0,3936551,0.0,1.0
0,0,1,0,0,0,0,0,0,3936583,0.0,1.0
0,0,1,0,0,0,0,0,0,3936584,0.0,1.0
0,0,1,0,0,0,0,0,0,3936789,0.0,1.0
0,0,1,0,0,0,0,0,0,3936842,0.0,1.0
0,0,1,0,0,0,0,0,0,3936861,0.0,1.0
0,0,1,0,0,0,0,0,0,3937378,0.0,1.0
0,0,1,0,0,0,0,0,0,3937559,0.0,1.0
0,0,1,0,0,0,0,0,0,3937854,0.0,1.0
0,0,1,0,0,0,0,0,0,3938326,0.0,1.0
0,0,1,0,0,0,0,0,0,3938519,0.0,1.0
0,0,1,0,0,0,0,0,0,3938868,0.0,1.0
0,0,1,0,0,0,0,0,0,3939000,0.0,1.0
0,0,1,0,0,0,0,0,0,3939047,0.0,1.0
0,0,1,0,0,0,0,0,0,3939116,0.0,1.0
0,1,1,0,0,0,0,0,0,3939123,0.0,1.0
0,0,1,0,0,0,0,0,0,3939224,0.0,1.0
0,0,1,0,0,0,0,0,0,3939292,0.0,1.0
0,0,1,0,0,0,0,0,0,3939440,0.0,1.0
0,0,1,0,0,0,0,0,0,3939547,0.0,1.0
0,0,1,0,0,0,0,0,0,3939706,0.0,1.0
0,0,1,0,0,0,0,0,0,3940288,0.0,1.0
0,1,0,0,0,0,0,0,0,3940353,0.0,1.0
0,0,1,0,0,0,0,0,0,3940756,0.0,1.0
0,0,1,0,0,0,0,0,0,3940846,0.0,1.0
0,0,1,0,0,0,0,0,0,3941280,0.0,1.0
0,0,1,0,0,0,0,0,0,3941550,0.0,1.0
0,0,1,0,0,0,0,0,0,3941551,0.0,1.0
0,0,1,0,0,0,0,0,0,3941623,0.0,1.0
0,0,1,0,0,0,0,0,0,3941727,0.0,1.0
0,1,0,0,0,0,0,0,0,3941849,0.0,1.0
0,0,1,0,0,0,0,0,0,3941893,0.0,1.0
0,1,0,0,0,0,0,0,0,3941904,0.0,1.0
