Renewable energy-All-purpose,Renewable energy-Biomass,Renewable energy-Geothermal,Renewable energy-Photovoltaic & solar,Renewable energy-Wave & Tidal,Renewable energy-Wind,id
False,True,False,False,False,False,9249362
False,True,False,False,False,False,9249368
False,True,False,False,False,False,9249432
False,True,False,False,False,False,9249442
False,True,False,False,False,False,9249474
False,False,False,True,False,True,9249650
True,False,False,False,False,False,9249757
False,False,False,True,False,False,9249785
False,False,True,False,False,False,9249786
False,False,False,True,False,False,9249989
False,False,False,True,False,False,9249990
False,False,False,True,False,False,9249991
False,False,False,True,False,False,9249993
False,False,False,True,False,False,9250015
False,False,False,True,False,False,9250224
False,False,True,False,False,False,9250351
False,False,False,True,False,False,9251543
False,False,False,True,False,False,9251962
False,False,False,True,False,False,9251963
False,False,False,True,False,False,9251964
False,False,False,True,False,False,9251965
False,False,False,True,False,False,9252294
False,False,False,True,False,False,9252295
False,False,False,True,False,False,9252299
False,False,False,True,False,False,9252300
False,False,False,True,False,False,9252301
False,False,False,True,False,False,9252307
False,False,False,True,False,False,9252308
False,False,False,True,False,False,9252309
False,False,False,True,False,False,9252311
False,False,False,True,False,False,9252312
False,False,False,True,False,False,9252313
False,False,False,True,False,False,9252314
False,False,False,True,False,False,9252315
False,False,False,True,False,False,9252316
False,False,False,True,False,False,9252319
False,False,False,True,False,False,9252320
False,False,False,True,False,False,9252374
False,False,False,True,False,False,9252571
False,False,False,True,False,False,9252598
False,False,False,True,False,False,9252680
True,False,False,True,False,False,9252701
False,False,False,True,False,False,9252702
False,False,False,False,True,False,9254172
False,True,False,False,False,False,9254449
False,True,False,False,False,False,9254451
False,True,False,False,False,False,9254461
False,True,False,False,False,False,9254607
False,True,False,False,False,False,9255169
False,True,False,False,False,False,9255189
False,True,False,False,False,False,9255218
False,True,False,False,False,False,9255225
False,True,False,False,False,False,9255231
False,True,False,False,False,False,9255301
False,False,False,True,False,False,9255569
False,False,False,True,False,False,9255675
False,False,False,True,False,False,9255725
False,False,False,True,False,False,9255840
True,False,False,False,False,False,9255869
False,False,False,True,False,False,9256018
False,False,False,True,False,False,9257236
False,False,False,True,False,False,9257237
False,False,False,True,False,False,9257284
False,False,False,True,False,False,9257575
False,False,False,True,False,False,9257578
False,False,False,True,False,False,9257583
False,False,False,True,False,False,9257584
False,False,False,True,False,False,9257586
False,False,False,True,False,False,9257592
False,False,False,True,False,False,9257847
False,False,False,True,False,False,9257892
False,False,False,True,False,False,9257916
False,False,False,True,False,False,9257937
False,False,False,True,False,False,9257938
False,False,False,False,True,False,9259268
True,False,False,True,False,False,9259662
False,False,False,True,False,False,9260556
False,True,False,False,False,False,9260675
False,True,False,False,False,False,9260695
False,True,False,False,False,False,9260731
False,True,False,False,False,False,9260735
False,False,False,True,False,False,9260915
False,False,False,False,True,False,9261070
False,False,False,True,False,False,9261294
False,False,False,True,False,False,9261628
False,False,False,True,False,False,9261630
False,False,False,True,False,False,9261659
False,False,False,True,False,False,9263169
False,False,False,True,False,False,9263519
False,False,False,True,False,False,9263600
False,False,False,True,False,False,9263601
False,False,False,True,False,False,9263602
False,False,False,True,False,False,9263603
False,False,False,True,False,False,9263605
False,False,False,True,False,False,9263609
False,False,False,True,False,False,9263610
False,False,False,True,False,False,9263611
False,False,False,True,False,False,9263612
False,False,False,True,False,False,9263615
False,False,False,True,False,False,9263620
False,False,False,True,False,False,9263622
False,False,False,True,False,False,9263624
False,False,False,True,False,False,9263625
False,False,False,True,False,False,9263678
False,False,False,True,False,False,9263688
False,False,False,True,False,False,9263986
False,False,False,True,False,False,9265124
False,True,False,False,False,False,9265284
False,True,False,False,False,False,9266113
False,True,False,False,False,False,9267090
False,True,False,False,False,False,9267102
False,True,False,False,False,False,9267146
False,False,False,True,False,False,9267207
False,False,False,True,False,False,9267468
False,False,False,True,False,False,9267709
False,False,False,True,False,False,9267710
False,False,False,True,False,False,9267711
False,False,False,True,False,False,9268158
False,False,False,True,False,False,9269282
False,False,False,True,False,False,9269581
False,False,False,True,False,False,9269748
False,False,False,True,False,False,9269839
False,False,False,True,False,False,9269840
False,False,False,True,False,False,9269841
False,False,False,True,False,False,9269851
False,False,False,True,False,False,9269904
False,False,False,True,False,False,9269916
False,False,False,True,False,False,9269989
True,False,False,True,False,False,9270164
False,False,False,True,False,False,9270201
False,False,False,True,False,False,9270225
False,False,False,True,False,False,9271453
False,False,False,False,True,False,9271791
False,True,False,False,False,False,9272239
False,True,False,False,False,False,9272288
False,False,False,True,False,False,9272352
False,True,False,False,False,False,9272468
False,False,False,True,False,False,9272497
False,False,False,True,False,False,9272783
False,False,False,True,False,False,9272909
False,True,False,False,False,False,9272912
True,False,False,False,False,False,9272930
False,True,False,False,False,False,9272976
False,True,False,False,False,False,9273158
False,True,False,False,False,False,9273180
False,False,False,True,False,False,9273181
False,True,False,False,False,False,9273280
False,True,False,False,False,False,9273329
False,True,False,False,False,False,9273330
False,False,False,True,False,False,9273672
False,False,False,True,False,False,9273840
False,False,True,True,False,False,9273866
False,False,False,True,False,False,9273883
False,False,False,True,False,False,9273884
False,False,False,True,False,False,9274045
False,False,False,True,False,False,9274266
False,False,False,True,False,False,9274306
False,False,False,True,False,False,9275391
False,False,False,True,False,False,9275772
False,False,False,True,False,False,9276148
False,False,False,True,False,False,9276149
False,False,False,True,False,False,9276151
False,False,False,True,False,False,9276153
False,False,False,True,False,False,9276155
False,False,False,True,False,False,9276156
False,False,False,True,False,False,9276163
False,False,False,True,False,False,9276215
False,False,False,True,False,False,9276223
False,False,False,True,False,False,9276402
False,False,False,True,False,False,9276403
False,False,False,True,False,False,9276409
False,False,False,True,False,False,9276412
True,False,False,False,False,False,9276418
False,False,False,True,False,False,9276432
False,False,False,True,False,False,9276519
False,False,False,True,False,False,9276520
False,False,False,True,False,False,9276521
True,False,False,False,False,False,9277497
True,True,False,False,False,False,9278327
False,True,False,False,False,False,9278379
False,False,False,True,False,False,9278617
False,True,False,False,False,False,9278896
False,True,False,False,False,False,9279113
False,True,False,False,False,False,9279135
False,True,False,False,False,False,9279162
False,False,False,True,False,False,9279176
False,False,False,True,False,False,9279188
False,True,False,False,False,False,9279190
False,False,False,True,False,False,9279415
False,False,False,True,False,False,9279416
False,False,False,True,False,False,9279417
False,False,False,True,False,False,9279457
False,False,False,True,False,False,9279601
False,False,False,True,False,False,9279602
False,False,False,True,False,False,9279790
False,False,False,True,False,False,9279910
False,False,False,True,False,False,9279914
False,False,False,True,False,False,9280042
False,False,False,True,False,False,9280797
False,False,False,True,False,False,9281131
False,False,False,True,False,False,9281132
False,False,False,True,False,False,9281419
False,False,False,True,False,False,9281426
False,False,False,True,False,False,9281429
False,False,False,True,False,False,9281430
False,False,False,True,False,False,9281431
False,False,False,True,False,False,9281432
False,False,False,True,False,False,9281435
False,False,False,True,False,False,9281436
False,True,False,False,False,False,9283537
False,True,False,False,False,False,9283551
False,False,False,True,False,False,9284069
False,True,False,False,False,False,9284115
False,True,False,False,False,False,9284204
False,True,False,False,False,False,9284242
False,True,False,False,False,False,9284503
False,True,False,False,False,False,9284504
False,True,False,False,False,False,9284566
False,True,False,False,False,False,9284582
False,True,False,False,False,False,9284614
False,True,False,False,False,False,9284615
False,True,False,False,False,False,9284616
False,False,False,True,False,False,9284639
False,False,False,True,False,False,9284656
False,False,False,True,False,False,9284661
False,False,False,False,True,False,9284940
False,False,False,True,False,False,9284951
False,False,True,False,False,False,9284952
True,False,False,False,False,False,9285112
False,False,False,True,False,False,9285139
False,False,False,True,False,False,9285144
False,False,False,True,False,False,9285816
False,False,False,True,False,False,9286646
False,False,False,True,False,False,9286813
False,False,False,True,False,False,9287052
False,False,False,True,False,False,9287056
False,False,False,True,False,False,9287057
False,False,False,True,False,False,9287419
False,False,False,True,False,False,9287420
False,False,False,True,False,False,9287421
False,False,False,True,False,False,9287422
False,False,False,True,False,False,9287424
False,False,False,True,False,False,9287427
False,False,False,True,False,False,9287429
False,False,False,True,False,False,9287430
False,False,False,True,False,False,9287431
False,False,False,True,False,False,9287437
False,False,False,True,False,False,9287438
False,False,False,True,False,False,9287439
False,False,False,True,False,False,9287551
False,False,False,True,False,False,9287701
False,False,False,True,False,False,9287801
False,True,False,False,False,False,9289011
False,False,True,True,False,True,9289696
False,False,False,True,False,False,9290258
False,False,False,True,False,False,9290398
False,True,False,False,False,False,9290429
False,True,False,False,False,False,9290612
False,True,False,False,False,False,9290613
False,True,False,False,False,False,9290614
False,True,False,False,False,False,9290704
False,True,False,False,False,False,9290707
False,True,False,False,False,False,9290768
False,True,False,False,False,False,9290780
False,True,False,False,False,False,9290784
False,True,False,False,False,False,9290802
False,True,False,False,False,False,9290821
False,False,False,True,False,False,9290852
False,False,True,False,False,False,9291286
False,False,False,True,False,False,9291365
False,False,False,True,False,False,9291366
False,False,False,True,False,False,9291367
False,False,False,True,False,False,9291368
False,False,False,True,False,False,9291370
False,False,False,True,False,False,9291494
False,False,False,True,False,False,9291696
True,False,False,False,False,False,9293265
False,False,False,True,False,False,9293327
False,False,False,True,False,False,9293553
False,False,False,True,False,False,9293607
False,False,False,True,False,False,9293609
False,False,False,True,False,False,9293610
False,False,False,True,False,False,9293611
False,False,False,True,False,False,9293613
False,False,False,True,False,False,9293614
False,False,False,True,False,False,9293616
False,False,False,True,False,False,9293618
False,False,False,True,False,False,9293619
False,False,False,True,False,False,9293620
False,False,False,True,False,False,9293621
False,False,False,True,False,False,9293623
False,False,False,True,False,False,9293624
False,False,False,True,False,False,9293632
False,False,False,True,False,False,9293633
False,False,False,True,False,False,9293635
False,False,False,True,False,False,9293636
False,False,False,True,False,False,9293707
False,False,False,True,False,False,9293720
False,False,False,True,False,False,9293915
False,False,False,True,False,True,9293947
False,False,False,True,False,False,9293948
False,False,False,True,False,False,9294032
False,False,False,True,False,False,9294033
False,False,False,True,False,False,9294034
False,True,False,False,False,False,9295205
False,True,False,False,False,False,9295274
False,True,False,False,False,False,9296131
False,True,False,False,False,False,9296830
False,False,False,True,False,False,9296848
False,False,False,True,False,False,9296864
False,False,False,True,False,False,9296899
False,False,True,False,False,False,9296940
False,True,False,False,False,False,9296962
False,True,False,False,False,False,9296985
False,True,False,False,False,False,9297020
False,True,False,False,False,False,9297021
False,False,False,False,True,False,9297240
False,False,True,True,False,False,9297366
False,False,True,True,False,False,9297367
False,True,False,False,False,False,9297530
False,False,False,True,False,False,9297554
False,False,False,True,False,False,9297555
False,False,False,True,False,False,9297556
False,False,False,True,False,False,9297557
False,False,True,False,False,False,9297591
False,True,False,False,False,False,9297776
False,False,False,True,False,False,9297879
False,True,False,False,False,False,9298174
False,False,False,True,False,False,9299503
False,False,False,True,False,False,9299504
False,False,False,True,False,False,9299565
False,False,False,True,False,False,9299863
False,False,False,True,False,False,9299866
False,False,False,True,False,False,9299871
False,False,False,True,False,False,9299875
False,False,False,True,False,False,9300133
False,False,False,True,False,False,9300139
True,False,False,False,False,False,9300141
False,False,False,True,False,False,9300153
False,False,False,True,False,False,9300169
False,False,False,True,False,False,9300170
False,False,False,True,False,False,9300224
False,False,False,True,False,False,9300225
False,False,False,True,False,False,9300226
False,False,False,True,False,False,9301340
False,False,False,True,False,False,9301442
False,True,False,False,False,False,9301452
False,False,False,True,False,False,9301659
True,False,False,False,False,False,9302250
True,False,False,True,False,False,9302590
False,False,False,True,False,False,9302792
False,True,False,False,False,False,9302966
False,True,False,False,False,False,9303127
False,True,False,False,False,False,9303213
False,True,False,False,False,False,9303242
False,True,False,False,False,False,9303265
False,True,False,False,False,False,9303269
False,False,False,True,False,False,9303407
False,False,False,True,False,True,9303622
False,False,True,False,False,False,9303629
False,False,False,True,False,False,9303890
False,False,False,True,False,False,9303899
False,False,False,True,False,False,9303960
False,False,False,True,False,False,9304161
False,False,False,True,False,False,9305713
False,False,False,True,False,False,9305714
False,False,False,True,False,False,9305715
False,False,False,True,False,False,9306081
False,False,False,True,False,False,9306083
False,False,False,True,False,False,9306084
False,False,False,True,False,False,9306085
False,False,False,True,False,False,9306086
