,LEGAL_BUSINESS_NAME,DBA_NAME,PHYSICAL_ADDRESS_LINE_1,PHYSICAL_ADDRESS_LINE_2,PHYSICAL_ADDRESS_CITY,PHYSICAL_ADDRESS_PROVINCE_OR_STATE,PHYSICAL_ADDRESS_ZIP,PHYSICAL_ADDRESS_ZIP4,PHYSICAL_ADDRESS_COUNTRY_CODE,ENTITY_CONGRESSIONAL_DISTRICT,CORPORATE_URL,ENTITY_STRUCTURE,STATE_OF INC,COUNTRY_OF_INC,0
166055,"GAYLORD INDUSTRIES, INC.",,10900 SW AVERY ST,,TUALATIN,OR,97062.0,8578.0,USA,1.0,,2L,OR,usa,"['http://www.gaylordventilation.com/', 'https://www.linkedin.com/company/gaylord-industries', 'https://www.yelp.com/biz/gaylord-industries-inc-kent', 'http://www.gaylordventilation.com/Contact_us/', 'https://www.safestreetsusa.com/app/themes/gaylord/splash.php', 'https://efoia.bis.doc.gov/index.php/documents/antiboycott/alleged-antiboycott-violations-2015/1077-a745/file', 'http://www.whaleyfoodservice.com/EquipmentManualsIntegration/Manuals/GAY0019.pdf', 'https://www.aecdaily.com/sc.php?node_id=226422&tabidx=corporate&company=Gaylord+Industries%2C+Inc.', 'https://www.bbb.org/western-washington/business-reviews/security-control-equipment-and-system-monitors/safe-streets-usa-llc-in-kent-wa-7039547', 'https://vimeo.com/207191714']"
166058,"BASIC ELECTRONICS, INC.",,11371 MONARCH ST,,GARDEN GROVE,CA,92841,1406.0,USA,47.0,,2L,CA,usa,"['https://www.basicelectronicsinc.com/', 'http://www.thomasnet.com/profile/00264432/basic-electronics-co-inc.html', 'https://www.linkedin.com/company/basic-electronics-co-ltd', 'https://www.smtnet.com/company/index.cfm?fuseaction=view_company&company_id=53797', 'https://www.linkedin.com/company/basic-electronics-inc.', 'https://www.amazon.com/Understanding-Basic-Electronics-ARRL-Inc-ebook/dp/B0112HMEUI', 'https://www.eventbrite.com/e/hands-on-basic-electronics-july-2017-tickets-33409767514', 'https://www.amazon.com/Understanding-Basic-Electronics-Softcover-ARRL/dp/0872590828', 'http://www.al-asasyah.com/', 'https://stielectronicsinc.com/training/']"
167612,"AIRXCHANGE, INC.",,85 LONGWATER DR,,ROCKLAND,MA,02370,1093.0,USA,9.0,,2L,MA,usa,"['http://www.airxchange.com/', 'https://www.linkedin.com/company/airxchange', 'http://www.airxchange.com/about-us-contact-us.htm', 'http://www.airexchange.com/', 'http://www.airxchange.com/resource-center-catalog.htm', 'https://www.manta.com/c/mm72w24/airxchange-inc', 'http://www.airxchange.com/products-overview.htm', 'http://www.esmagazine.com/directories/2744-sourcebook/listing/6832-airxchange-inc', 'https://www.linkedin.com/in/kenneth-drews-2377b9b4', 'http://www.hpac.com/iaq-ventilation/replacement-wheels-hospital-again-enjoying-benefits-erv']"
167617,"RJ LEE GROUP, INC.",,350 HOCHBERG RD,,MONROEVILLE,PA,15146.0,1516.0,USA,12.0,,2L,PA,usa,"['http://www.rjlg.com/', 'https://en.wikipedia.org/wiki/RJ_Lee_Group', 'http://www.rjlg.com/all-laboratory-services/', 'https://www.linkedin.com/company/rj-lee-group', 'http://www.rjlg.com/about-us/careers/', 'https://www.facebook.com/rjleegroup/', 'http://www.rjlg.com/contact-us/', 'https://www.linkedin.com/company/r-j-lee-group-inc', 'http://go.rjlg.com/us-distributor-ionicon-ptr-ms', 'https://www.azonano.com/suppliers.aspx?SupplierID=2151']"
167695,"MOLY MANUFACTURING, INC.",SILENCER,2435 10TH RD,,LORRAINE,KS,67459,9338.0,USA,1.0,,ZZ,KS,usa,"['http://www.molymfg.com/', 'https://www.facebook.com/moly.mfg/', 'http://www.molymfg.com/Products/Silencer/tabid/3628/Default.aspx', 'https://www.youtube.com/watch?v=BnGAQQ25WYQ', 'http://www.molymfg.com/Products/FZACompleteSystem/tabid/3626/Default.aspx', 'https://www.youtube.com/watch?v=auOhT0DBTts', 'http://www.molymfg.com/Contact/tabid/3624/Default.aspx', 'https://www.youtube.com/watch?v=jkugx6GA7_M', 'https://www.linkedin.com/company/moly-manufacturing-inc', 'https://www.youtube.com/watch?v=uUQepmYmIGU']"
167697,"TOKO, INC.",JOHNNY CARINO'S,2159 WEST BURKE ST,,BOZEMAN,MT,59718,8504.0,USA,0.0,,2L,MT,usa,"['http://www.toko.com/', 'http://www.toko.co.jp/products/en/', 'http://www.murata.com/en-us/about/company/muratalocations/japan/toko', 'http://www.mouser.com/murata-toko/', 'https://www.indiamart.com/tokoindia/', 'https://www.linkedin.com/company/toko-america-inc', 'https://play.google.com/store/apps/developer?id=Toko+Inc.', 'https://www.linkedin.com/company/toko-inc', 'http://www.toko.com.sg/', 'http://www.4starelectronics.com/mfgs/TOKO.html']"
167804,TECHNOLOGY DEVELOPMENT CORPORATION,,BOX 120,,ANNAPOLIS JUNCTION,MD,20701,120.0,USA,2.0,,2L,DE,usa,"['http://tedco.md/', 'http://www.nyctdc.org/', 'http://msa.maryland.gov/msa/mdmanual/25ind/html/71tech.html', 'http://www.nyctdc.org/html/about/about.shtml', 'https://www.linkedin.com/company/maryland-technology-development-corporation-tedco-', 'https://www.htdc.org/', 'https://www.linkedin.com/company/nyc-technology-development-corporation', 'https://nebraska.edu/technology-developers.html', 'http://www.nytimes.com/2012/08/24/nyregion/new-york-city-sets-up-nonprofit-corporation-to-oversee-tech-projects.html', 'https://www.facebook.com/MDTEDCO/']"
168571,"NATURE'S SUNSHINE PRODUCTS, INC.",,2500 W EXECUTIVE PKWY STE 100,,LEHI,UT,84043,3857.0,USA,4.0,,2L,UT,usa,"['https://www.naturessunshine.com/', 'https://en.wikipedia.org/wiki/Nature%27s_Sunshine_Products', 'https://www.naturessunshine.com/us/products/a-z/', 'https://www.amazon.com/Nature-s-Sunshine/pages/2597184011', 'https://www.naturessunshine.com/us/shop/', 'https://www.bloomberg.com/quote/NATR:US', 'https://www.naturessunshine.com/us/general/signin/', 'https://finance.yahoo.com/quote/NATR/', 'http://www.healthywarehouse.com/', 'http://www.marketwatch.com/investing/stock/natr']"
168584,"ROGERS MACHINERY COMPANY, INC.",,14650 SW 72ND AVE,,PORTLAND,OR,97224,7962.0,USA,1.0,,2L,OR,usa,"['http://www.rogers-machinery.com/', 'https://www.linkedin.com/company/rogers-machinery-company-inc.', 'http://www.rogers-machinery.com/contact-us/', 'http://knw-series.com/', 'http://www.rogers-machinery.com/careers/', 'http://www.thomasnet.com/profile/10046219/rogers-machinery-company-inc.html', 'http://www.rogers-machinery.com/rmc-products/air-compressor1/', 'https://www.ziprecruiter.com/jobs/rogers-machinery-company-inc-0ac69f6e', 'http://www.manta.com/c/mxfzr8x/rogers-machinery-company', 'http://businessfinder.oregonlive.com/714635/Rogers-Machinery-Company-Portland-OR']"
168585,"ROGERS MACHINERY COMPANY, INC.",,7800 5TH AVE S,,SEATTLE,WA,98108,4304.0,USA,9.0,,ZZ,OR,usa,"['http://www.rogers-machinery.com/', 'https://www.linkedin.com/company/rogers-machinery-company-inc.', 'http://www.rogers-machinery.com/contact-us/', 'http://knw-series.com/', 'http://www.rogers-machinery.com/careers/', 'http://www.thomasnet.com/profile/10046219/rogers-machinery-company-inc.html', 'http://www.rogers-machinery.com/rmc-products/air-compressor1/', 'https://www.ziprecruiter.com/jobs/rogers-machinery-company-inc-0ac69f6e', 'http://www.manta.com/c/mxfzr8x/rogers-machinery-company', 'http://businessfinder.oregonlive.com/714635/Rogers-Machinery-Company-Portland-OR']"
