patent_id,assignee_id,id,type,name_first,name_last,organization,compare_organization,DUNS,DUNS4,CAGE_CODE,DODAAC,LEGAL_BUSINESS_NAME,DBA_NAME,PHYSICAL_ADDRESS_LINE_1,PHYSICAL_ADDRESS_LINE_2,PHYSICAL_ADDRESS_CITY,PHYSICAL_ADDRESS_PROVINCE_OR_STATE,PHYSICAL_ADDRESS_ZIP,PHYSICAL_ADDRESS_ZIP4,PHYSICAL_ADDRESS_COUNTRY_CODE,ENTITY_CONGRESSIONAL_DISTRICT,CORPORATE_URL,ENTITY_STRUCTURE,STATE_OF INC,COUNTRY_OF_INC,BUSINESS_TYPE_COUNTER,BUSINESS_TYPES,PRIMARY_NAICS,NAICS_CODE_COUNTER,NAICS_CODES,PSC_CODE_COUNTER,PSC_CODES,SBA_BUSINESS_TYPES_COUNTER,SBA_BUSINESS_TYPES,compare_lbn,compare_dban
8945005,8e7c1b34b2488f4e6c0aca09c300a723,8e7c1b34b2488f4e6c0aca09c300a723,2.0,,,"Proteus Digital Health, Inc.","proteus digital health, inc.",149825791,,5YQ08,,"PROTEUS DIGITAL HEALTH, INC.",,2600 BRIDGE PKWY,,REDWOOD CITY,CA,94065,6136.0,USA,14.0,,2L,DE,USA,1.0,2X,541711.0,1.0,541711Y,0.0,,0.0,,"proteus digital health, inc.",
8398755,27b93850c3576a79b5939e4c8362cbfb,27b93850c3576a79b5939e4c8362cbfb,2.0,,,"Generon IGS, Inc.","generon igs, inc.",19451777,,6UB19,,"GENERON IGS, INC.",M G GENERON,ARCY LN BLDG 992,,PITTSBURG,CA,94565,,USA,11.0,,2L,CA,USA,2.0,2X~MF,335314.0,2.0,335312Y~335314Y,0.0,,0.0,,"generon igs, inc.",m g generon
6657775,8afc84a83446c87900c026b352dd7026,8afc84a83446c87900c026b352dd7026,2.0,,,nLIGHT Photonics Corporation,nlight photonics corporation,799811646,,3EY27,,NLIGHT PHOTONICS CORPORATION,NLIGHT,5408 NE 88TH ST BLDG E,,VANCOUVER,WA,98665.0,990.0,USA,3.0,,2L,DE,USA,2.0,2X~MF,333314.0,12.0,333314N~334413Y~334418Y~334419Y~334511Y~334513Y~335921Y~335999N~336413Y~336419Y~339999N~541712E,0.0,,0.0,,nlight photonics corporation,nlight
6952510,8afc84a83446c87900c026b352dd7026,8afc84a83446c87900c026b352dd7026,2.0,,,nLIGHT Photonics Corporation,nlight photonics corporation,799811646,,3EY27,,NLIGHT PHOTONICS CORPORATION,NLIGHT,5408 NE 88TH ST BLDG E,,VANCOUVER,WA,98665.0,990.0,USA,3.0,,2L,DE,USA,2.0,2X~MF,333314.0,12.0,333314N~334413Y~334418Y~334419Y~334511Y~334513Y~335921Y~335999N~336413Y~336419Y~339999N~541712E,0.0,,0.0,,nlight photonics corporation,nlight
9453165,9cbca8d9b20e25cf33c59727359db63c,9cbca8d9b20e25cf33c59727359db63c,2.0,,,"Velocys, Inc.","velocys, inc.",52369993,,3C1W8,,"VELOCYS, INC.",,7950 CORPORATE BLVD,,PLAIN CITY,OH,43064.0,9230.0,USA,4.0,,2L,DE,USA,2.0,20~2X,333249.0,1.0,333249Y,3.0,AG27~AG63~AG67,0.0,,"velocys, inc.",
9006298,9cbca8d9b20e25cf33c59727359db63c,9cbca8d9b20e25cf33c59727359db63c,2.0,,,"Velocys, Inc.","velocys, inc.",52369993,,3C1W8,,"VELOCYS, INC.",,7950 CORPORATE BLVD,,PLAIN CITY,OH,43064.0,9230.0,USA,4.0,,2L,DE,USA,2.0,20~2X,333249.0,1.0,333249Y,3.0,AG27~AG63~AG67,0.0,,"velocys, inc.",
7084180,9cbca8d9b20e25cf33c59727359db63c,9cbca8d9b20e25cf33c59727359db63c,2.0,,,"Velocys, Inc.","velocys, inc.",52369993,,3C1W8,,"VELOCYS, INC.",,7950 CORPORATE BLVD,,PLAIN CITY,OH,43064.0,9230.0,USA,4.0,,2L,DE,USA,2.0,20~2X,333249.0,1.0,333249Y,3.0,AG27~AG63~AG67,0.0,,"velocys, inc.",
8188153,9cbca8d9b20e25cf33c59727359db63c,9cbca8d9b20e25cf33c59727359db63c,2.0,,,"Velocys, Inc.","velocys, inc.",52369993,,3C1W8,,"VELOCYS, INC.",,7950 CORPORATE BLVD,,PLAIN CITY,OH,43064.0,9230.0,USA,4.0,,2L,DE,USA,2.0,20~2X,333249.0,1.0,333249Y,3.0,AG27~AG63~AG67,0.0,,"velocys, inc.",
9359271,9cbca8d9b20e25cf33c59727359db63c,9cbca8d9b20e25cf33c59727359db63c,2.0,,,"Velocys, Inc.","velocys, inc.",52369993,,3C1W8,,"VELOCYS, INC.",,7950 CORPORATE BLVD,,PLAIN CITY,OH,43064.0,9230.0,USA,4.0,,2L,DE,USA,2.0,20~2X,333249.0,1.0,333249Y,3.0,AG27~AG63~AG67,0.0,,"velocys, inc.",
9023900,9cbca8d9b20e25cf33c59727359db63c,9cbca8d9b20e25cf33c59727359db63c,2.0,,,"Velocys, Inc.","velocys, inc.",52369993,,3C1W8,,"VELOCYS, INC.",,7950 CORPORATE BLVD,,PLAIN CITY,OH,43064.0,9230.0,USA,4.0,,2L,DE,USA,2.0,20~2X,333249.0,1.0,333249Y,3.0,AG27~AG63~AG67,0.0,,"velocys, inc.",
4701839,59c22eb3fc1e164cc7c38d1e0dab5c79,59c22eb3fc1e164cc7c38d1e0dab5c79,2.0,,,International Cybernetics Corporation,international cybernetics corporation,82640442,,3PZN0,,INTERNATIONAL CYBERNETICS CORPORATION,I C C,10630 75TH ST,,LARGO,FL,33777,1420.0,USA,13.0,,2L,FL,USA,3.0,2X~MF~XS,334515.0,4.0,334515Y~334519Y~336999Y~541690Y,0.0,,0.0,,international cybernetics corporation,i c c
4577271,59c22eb3fc1e164cc7c38d1e0dab5c79,59c22eb3fc1e164cc7c38d1e0dab5c79,2.0,,,International Cybernetics Corporation,international cybernetics corporation,82640442,,3PZN0,,INTERNATIONAL CYBERNETICS CORPORATION,I C C,10630 75TH ST,,LARGO,FL,33777,1420.0,USA,13.0,,2L,FL,USA,3.0,2X~MF~XS,334515.0,4.0,334515Y~334519Y~336999Y~541690Y,0.0,,0.0,,international cybernetics corporation,i c c
4578763,59c22eb3fc1e164cc7c38d1e0dab5c79,59c22eb3fc1e164cc7c38d1e0dab5c79,2.0,,,International Cybernetics Corporation,international cybernetics corporation,82640442,,3PZN0,,INTERNATIONAL CYBERNETICS CORPORATION,I C C,10630 75TH ST,,LARGO,FL,33777,1420.0,USA,13.0,,2L,FL,USA,3.0,2X~MF~XS,334515.0,4.0,334515Y~334519Y~336999Y~541690Y,0.0,,0.0,,international cybernetics corporation,i c c
8114287,9d9f3eda8e23b3f453fdbdb221539c6a,9d9f3eda8e23b3f453fdbdb221539c6a,2.0,,,Layne Christensen Company,layne christensen company,14739994,,1E1L5,,LAYNE CHRISTENSEN COMPANY,COLOG DIV,1717 W PARK AVE,,REDLANDS,CA,92373,8049.0,USA,31.0,,2L,DE,USA,1.0,2X,237110.0,1.0,237110Y,0.0,,0.0,,layne christensen company,colog div
8114287,9d9f3eda8e23b3f453fdbdb221539c6a,9d9f3eda8e23b3f453fdbdb221539c6a,2.0,,,Layne Christensen Company,layne christensen company,31444771,,0HMT7,,LAYNE CHRISTENSEN COMPANY,LAYNE-WESTERN,1011 W HARRY ST,,WICHITA,KS,67213,4110.0,USA,4.0,,2L,DE,USA,1.0,2X,237110.0,1.0,237110Y,0.0,,0.0,,layne christensen company,layne-western
8114287,9d9f3eda8e23b3f453fdbdb221539c6a,9d9f3eda8e23b3f453fdbdb221539c6a,2.0,,,Layne Christensen Company,layne christensen company,60234689,,7L483,,LAYNE CHRISTENSEN COMPANY,LAYNE-CENTRAL,3720 N PALAFOX ST,,PENSACOLA,FL,32505.0,5237.0,USA,1.0,,2L,DE,USA,1.0,2X,237110.0,1.0,237110Y,0.0,,0.0,,layne christensen company,layne-central
8114287,9d9f3eda8e23b3f453fdbdb221539c6a,9d9f3eda8e23b3f453fdbdb221539c6a,2.0,,,Layne Christensen Company,layne christensen company,64005440,,1E7T4,,LAYNE CHRISTENSEN COMPANY,LAYNE-WESTERN,721 W ILLINOIS AVE,,AURORA,IL,60506.0,2830.0,USA,11.0,,2L,DE,USA,1.0,2X,237110.0,1.0,237110Y,0.0,,0.0,,layne christensen company,layne-western
8114287,9d9f3eda8e23b3f453fdbdb221539c6a,9d9f3eda8e23b3f453fdbdb221539c6a,2.0,,,Layne Christensen Company,layne christensen company,73047867,,30XU7,,LAYNE CHRISTENSEN COMPANY,LAYNE CHRISTENSEN PUMPS DIV,1212 UNIVERSITY ST,,MEMPHIS,TN,38108,1246.0,USA,9.0,,2L,DE,USA,1.0,2X,237110.0,1.0,237110Y,0.0,,0.0,,layne christensen company,layne christensen pumps div
8114287,9d9f3eda8e23b3f453fdbdb221539c6a,9d9f3eda8e23b3f453fdbdb221539c6a,2.0,,,Layne Christensen Company,layne christensen company,82577198,,0PYW7,,LAYNE CHRISTENSEN COMPANY,LAYNE-ARKANSAS,2015 S MAIN ST,,STUTTGART,AR,72160,6719.0,USA,1.0,,2L,DE,USA,1.0,2X,237110.0,1.0,237110Y,0.0,,0.0,,layne christensen company,layne-arkansas
8114287,9d9f3eda8e23b3f453fdbdb221539c6a,9d9f3eda8e23b3f453fdbdb221539c6a,2.0,,,Layne Christensen Company,layne christensen company,806597506,,58XN2,,LAYNE CHRISTENSEN COMPANY,STAMM-SCHEELE,202 WEST LOUISIANA AVE,,RAYNE,LA,70578.0,5956.0,USA,3.0,,2L,DE,USA,1.0,2X,237110.0,1.0,237110Y,0.0,,0.0,,layne christensen company,stamm-scheele
8303825,9d9f3eda8e23b3f453fdbdb221539c6a,9d9f3eda8e23b3f453fdbdb221539c6a,2.0,,,Layne Christensen Company,layne christensen company,14739994,,1E1L5,,LAYNE CHRISTENSEN COMPANY,COLOG DIV,1717 W PARK AVE,,REDLANDS,CA,92373,8049.0,USA,31.0,,2L,DE,USA,1.0,2X,237110.0,1.0,237110Y,0.0,,0.0,,layne christensen company,colog div
8303825,9d9f3eda8e23b3f453fdbdb221539c6a,9d9f3eda8e23b3f453fdbdb221539c6a,2.0,,,Layne Christensen Company,layne christensen company,31444771,,0HMT7,,LAYNE CHRISTENSEN COMPANY,LAYNE-WESTERN,1011 W HARRY ST,,WICHITA,KS,67213,4110.0,USA,4.0,,2L,DE,USA,1.0,2X,237110.0,1.0,237110Y,0.0,,0.0,,layne christensen company,layne-western
8303825,9d9f3eda8e23b3f453fdbdb221539c6a,9d9f3eda8e23b3f453fdbdb221539c6a,2.0,,,Layne Christensen Company,layne christensen company,60234689,,7L483,,LAYNE CHRISTENSEN COMPANY,LAYNE-CENTRAL,3720 N PALAFOX ST,,PENSACOLA,FL,32505.0,5237.0,USA,1.0,,2L,DE,USA,1.0,2X,237110.0,1.0,237110Y,0.0,,0.0,,layne christensen company,layne-central
8303825,9d9f3eda8e23b3f453fdbdb221539c6a,9d9f3eda8e23b3f453fdbdb221539c6a,2.0,,,Layne Christensen Company,layne christensen company,64005440,,1E7T4,,LAYNE CHRISTENSEN COMPANY,LAYNE-WESTERN,721 W ILLINOIS AVE,,AURORA,IL,60506.0,2830.0,USA,11.0,,2L,DE,USA,1.0,2X,237110.0,1.0,237110Y,0.0,,0.0,,layne christensen company,layne-western
8303825,9d9f3eda8e23b3f453fdbdb221539c6a,9d9f3eda8e23b3f453fdbdb221539c6a,2.0,,,Layne Christensen Company,layne christensen company,73047867,,30XU7,,LAYNE CHRISTENSEN COMPANY,LAYNE CHRISTENSEN PUMPS DIV,1212 UNIVERSITY ST,,MEMPHIS,TN,38108,1246.0,USA,9.0,,2L,DE,USA,1.0,2X,237110.0,1.0,237110Y,0.0,,0.0,,layne christensen company,layne christensen pumps div
8303825,9d9f3eda8e23b3f453fdbdb221539c6a,9d9f3eda8e23b3f453fdbdb221539c6a,2.0,,,Layne Christensen Company,layne christensen company,82577198,,0PYW7,,LAYNE CHRISTENSEN COMPANY,LAYNE-ARKANSAS,2015 S MAIN ST,,STUTTGART,AR,72160,6719.0,USA,1.0,,2L,DE,USA,1.0,2X,237110.0,1.0,237110Y,0.0,,0.0,,layne christensen company,layne-arkansas
8303825,9d9f3eda8e23b3f453fdbdb221539c6a,9d9f3eda8e23b3f453fdbdb221539c6a,2.0,,,Layne Christensen Company,layne christensen company,806597506,,58XN2,,LAYNE CHRISTENSEN COMPANY,STAMM-SCHEELE,202 WEST LOUISIANA AVE,,RAYNE,LA,70578.0,5956.0,USA,3.0,,2L,DE,USA,1.0,2X,237110.0,1.0,237110Y,0.0,,0.0,,layne christensen company,stamm-scheele
6485746,6cb8295f07f8ceff6df136e724042a7d,6cb8295f07f8ceff6df136e724042a7d,2.0,,,"Neurocrine Biosciences, Inc.","neurocrine biosciences, inc.",800981276,,5H9C3,,"NEUROCRINE BIOSCIENCES, INC.",,12780 EL CAMINO REAL,,SAN DIEGO,CA,92130.0,2042.0,USA,52.0,,2L,DE,USA,2.0,27~2X,541711.0,1.0,541711Y,0.0,,0.0,,"neurocrine biosciences, inc.",
