,patent_id
1302,9271936
1305,9272077
1306,9272134
1307,9272134
1308,9272158
1310,9272334
1313,9272976
1316,9273219
1317,9273244
1318,9273248
1319,9273305
1322,9273387
1324,9273410
1325,9273412
1326,9273412
1327,9273414
1328,9273851
1329,9273865
1330,9274008
1331,9274009
1332,9274049
1333,9274053
1334,9274058
1336,9274179
1337,9274264
1338,9274294
1339,9274372
1340,9274398
1341,9274460
1343,9275322
1344,9275710
1345,9275737
1346,9275739
1347,9275741
1348,9275745
1350,9275773
1351,9275775
1352,9275797
1353,9275844
1354,9275855
1356,9275863
1357,9275864
1360,9275896
1362,9275926
1363,9275928
1364,9275956
1366,9275996
1367,9276014
1368,9276015
1369,9276039
1370,9276048
1371,9276050
1372,9276064
1373,9276065
1374,9276066
1375,9276068
1377,9276076
1378,9276078
1379,9276091
1380,9276095
1381,9276099
1382,9276100
1383,9276106
1384,9276120
1385,9276121
1386,9276122
1387,9276123
1388,9276124
1389,9276125
1390,9276126
1391,9276127
1392,9276128
1393,9276139
1394,9276144
1395,9276145
1397,9276168
1398,9276172
1399,9276186
1400,9276197
1401,9276210
1403,9276210
1404,9276213
1406,9276216
1407,9276234
1408,9276245
1410,9276305
1411,9276326
1412,9276379
1413,9276381
1415,9276564
1417,9277607
1418,9277697
1420,9278055
1421,9278055
1423,9278113
1424,9278137
1425,9278137
1426,9278318
1429,9278392
1432,9278502
1433,9278848
1437,9278856
1438,9278862
1439,9278993
1440,9279046
1441,9279153
1443,9279203
1444,9279767
1445,9279785
1446,9279804
1450,9280044
1451,9280049
1453,9280463
1454,9280635
1455,9281016
1456,9281059
1457,9281059
1459,9281191
1460,9281194
1461,9281204
1462,9281216
1463,9281233
1464,9281267
1465,9281276
1466,9281298
1467,9281300
1469,9281322
1470,9281327
1471,9281353
1472,9281355
1473,9281358
1475,9281373
1476,9281383
1477,9281384
1480,9281406
1481,9281407
1482,9281409
1483,9281410
1484,9281412
1485,9281427
1486,9281433
1487,9281447
1490,9281472
1491,9281486
1492,9281518
1493,9282634
1496,9283185
1498,9283211
1499,9283501
1501,9283570
1502,9283619
1504,9283657
1506,9283748
1508,9284186
1510,9284191
1511,9284193
1512,9284259
1513,9284381
1514,9284389
1517,9284440
1518,9284445
1522,9284601
1525,9284682
1529,9285336
1533,9285729
1534,9285737
1535,9286024
1539,9286949
1540,9286968
1541,9286981
1543,9287052
1544,9287053
1545,9287108
1549,9287168
1550,9287189
1551,9287214
1552,9287256
1553,9287259
1554,9287266
1555,9287267
1557,9287276
1558,9287279
1559,9287287
1560,9287288
1561,9287292
1562,9287297
1563,9287313
1564,9287314
1567,9287328
1568,9287345
1569,9287352
1572,9287365
1573,9287374
1574,9287381
1575,9287381
1577,9287388
1578,9287390
1579,9287395
1580,9287396
1581,9287400
1582,9287405
1583,9287407
1584,9287408
1585,9287410
1586,9287411
1587,9287429
1589,9287435
1590,9287436
1593,9287456
1594,9287464
1597,9287499
1599,9287522
1600,9287541
1601,9287553
1602,9287561
1604,9288564
1605,9289131
1606,9289360
1607,9289390
1613,9289517
1615,9289753
1616,9289937
1617,9290380
1620,9290389
1624,9290650
1626,9290665
1629,9290693
1630,9290695
1631,9290806
1634,9290856
1636,9291499
1640,9291620
1642,9291836
1643,9291870
1645,9292953
1646,9292954
1648,9293177
1649,9293212
1651,9293233
1652,9293238
1655,9293347
1656,9293348
1657,9293349
1658,9293359
1659,9293363
1660,9293381
1661,9293401
1663,9293436
1664,9293446
1665,9293455
1667,9293470
1668,9293478
1669,9293480
1670,9293484
1671,9293496
1673,9293508
1674,9293532
1675,9293536
1676,9293542
1677,9293545
1679,9293548
1680,9293553
1681,9293555
1683,9293562
1684,9293563
1685,9293564
1686,9293566
1688,9293572
1690,9293578
1691,9293590
1692,9293592
1693,9293595
1695,9293597
1696,9293599
1697,9293600
1698,9293602
1699,9293603
1700,9293655
1701,9293658
1702,9293683
1703,9293703
1704,9293717
1706,9293719
1708,9293736
1710,9293762
1711,9293770
1713,9293892
1714,9295153
1715,9295153
1716,9295266
1717,9295649
1718,9295651
1720,9295727
1721,9295736
1722,9295748
1723,9295750
1724,9295759
1725,9295759
1726,9295762
1728,9296043
1730,9296154
1731,9296563
1735,9296618
1736,9296623
1737,9296626
1738,9296651
1742,9296870
1743,9296891
1746,9296925
1748,9297013
1749,9297062
1750,9297074
1751,9297092
1753,9297115
1755,9297768
1759,9297912
1760,9298039
1761,9298080
1764,9299296
1766,9299393
1767,9299426
1768,9299427
1769,9299470
1771,9299474
1772,9299494
1773,9299526
1776,9299569
1778,9299576
1779,9299578
1780,9299579
1782,9299603
1783,9299604
1784,9299608
1785,9299629
1786,9299632
1787,9299637
1788,9299649
1789,9299654
1790,9299675
1791,9299701
1794,9299715
1795,9299720
1796,9299723
1797,9299724
1798,9299732
1799,9299771
1800,9299772
1801,9299777
1803,9299786
1805,9299790
1806,9299807
1807,9299808
1808,9299814
1809,9299825
1811,9299852
1813,9299854
1814,9299865
1815,9299914
1819,9299992
1820,9300115
1821,9300308
1822,9300885
1824,9301340
1825,9301380
1831,9302228
1832,9302241
1833,9302258
1834,9302260
1836,9302635
1837,9302908
1842,9303153
1843,9303171
1845,9303223
1847,9303273
1850,9303312
1852,9303818
1853,9303834
1855,9304042
1856,9304072
1858,9304124
1862,9304310
1863,9304371
1865,9305045
1866,9305475
1867,9305571
1868,9305614
1870,9305637
1871,9305652
1872,9305674
1873,9305676
1876,9305756
1877,9305773
1878,9305774
1883,9305783
1884,9305788
1886,9305824
1888,9305840
1889,9305858
1890,9305859
1891,9305864
1893,9305875
1894,9305888
1895,9305891
1896,9305912
1898,9305925
1900,9305930
1901,9305934
1902,9305937
1903,9305939
1904,9305940
1905,9305942
1906,9305945
1907,9305952
1908,9305960
1909,9305969
1910,9305978
1911,9305978
1912,9305994
